"applicationId","version","meta","name","public","snapshot"
"advisor-profile-fe","0.11.0-SNAPSHOT","{""id"": ""advisor-profile-fe"", ""name"": ""Advisor Profile"", ""version"": ""0.11.0-SNAPSHOT"", ""dependencies"": {""assets"": []}, ""views"": [{""eventName"": ""onUnifiedProfileViewLoaded"", ""targetElement"": "".unified-profile#application_entry"", ""content"": ""<div></div>"", ""dependencies"": {""assets"": [{""id"": ""rt_main_7266eb92_css"", ""content-type"": ""text/css"", ""source-ref"": ""static/css/main.7266eb92.css""}, {""id"": ""rt_main_f54226b3_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/main.f54226b3.js""}, {""id"": ""rt_125_1795c85d_chunk_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/125.1795c85d.chunk.js""}, {""id"": ""rt_456_bd49eab5_chunk_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/456.bd49eab5.chunk.js""}]}}]}","Advisor Profile","false","false"
"advisor-profile-fe","0.6.0-SNAPSHOT","{""id"": ""advisor-profile-fe"", ""name"": ""Advisor Profile"", ""version"": ""0.6.0-SNAPSHOT"", ""dependencies"": {""assets"": []}, ""views"": [{""eventName"": ""onUnifiedProfileViewLoaded"", ""targetElement"": "".unified-profile#application_entry"", ""content"": ""<div></div>"", ""dependencies"": {""assets"": [{""id"": ""rt_main_8b1ffcde_css"", ""content-type"": ""text/css"", ""source-ref"": ""static/css/main.8b1ffcde.css""}, {""id"": ""rt_main_f5fb581b_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/main.f5fb581b.js""}, {""id"": ""rt_164_7d1457a8_chunk_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/164.7d1457a8.chunk.js""}, {""id"": ""rt_844_5e57c0f9_chunk_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/844.5e57c0f9.chunk.js""}, {""id"": ""rt_44_20a311e6_chunk_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/44.20a311e6.chunk.js""}]}}]}","Advisor Profile","false","false"
"advisor-profile-fe","0.8.0","{""id"": ""advisor-profile-fe"", ""name"": ""Advisor Profile"", ""version"": ""0.8.0"", ""dependencies"": {""assets"": []}, ""views"": [{""eventName"": ""onUnifiedProfileViewLoaded"", ""targetElement"": "".unified-profile#application_entry"", ""content"": ""<div></div>"", ""dependencies"": {""assets"": [{""id"": ""rt_main_8b1ffcde_css"", ""content-type"": ""text/css"", ""source-ref"": ""static/css/main.8b1ffcde.css""}, {""id"": ""rt_main_f5fb581b_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/main.f5fb581b.js""}, {""id"": ""rt_164_7d1457a8_chunk_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/164.7d1457a8.chunk.js""}, {""id"": ""rt_844_5e57c0f9_chunk_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/844.5e57c0f9.chunk.js""}, {""id"": ""rt_44_20a311e6_chunk_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/44.20a311e6.chunk.js""}]}}]}","Advisor Profile","false","false"
"advisor-profile-fe","0.9.0-SNAPSHOT","{""id"": ""advisor-profile-fe"", ""name"": ""Advisor Profile"", ""version"": ""0.9.0-SNAPSHOT"", ""dependencies"": {""assets"": []}, ""views"": [{""eventName"": ""onUnifiedProfileViewLoaded"", ""targetElement"": "".unified-profile#application_entry"", ""content"": ""<div></div>"", ""dependencies"": {""assets"": [{""id"": ""rt_main_7266eb92_css"", ""content-type"": ""text/css"", ""source-ref"": ""static/css/main.7266eb92.css""}, {""id"": ""rt_main_49df6ddc_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/main.49df6ddc.js""}, {""id"": ""rt_164_4037d3f8_chunk_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/164.4037d3f8.chunk.js""}, {""id"": ""rt_456_cc01c4d5_chunk_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/456.cc01c4d5.chunk.js""}]}}]}","Advisor Profile","false","true"
"sites-component-common-info","0.0.1-SNAPSHOT","{""id"": ""sites-component-common-info"", ""name"": ""sites-component-common-info"", ""version"": ""0.0.1-SNAPSHOT"", ""dependencies"": {""assets"": []}, ""views"": [{""eventName"": ""onCommonInfoLoaded"", ""dependencies"": {""assets"": [{""id"": ""rt_main_a71a2b0f_chunk_css"", ""content-type"": ""text/css"", ""source-ref"": ""static/css/main.a71a2b0f.chunk.css""}, {""id"": ""rt_main_28e14f42_chunk_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/main.28e14f42.chunk.js""}, {""id"": ""rt_runtime-main_d30ce3ce_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/runtime-main.d30ce3ce.js""}, {""id"": ""rt_2_516318ea_chunk_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/2.516318ea.chunk.js""}]}}]}","sites-component-common-info","false","false"
"sites-component-common-info","0.1.0-SNAPSHOT","{""id"": ""sites-component-common-info"", ""name"": ""sites-component-common-info"", ""version"": ""0.1.0-SNAPSHOT"", ""dependencies"": {""assets"": []}, ""views"": [{""eventName"": ""onCommonInfoLoaded"", ""dependencies"": {""assets"": [{""id"": ""rt_main_a71a2b0f_chunk_css"", ""content-type"": ""text/css"", ""source-ref"": ""static/css/main.a71a2b0f.chunk.css""}, {""id"": ""rt_main_28e14f42_chunk_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/main.28e14f42.chunk.js""}, {""id"": ""rt_runtime-main_d30ce3ce_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/runtime-main.d30ce3ce.js""}, {""id"": ""rt_2_e6354d73_chunk_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/2.e6354d73.chunk.js""}]}}]}","sites-component-common-info","false","false"
"sites-component-common-info","0.2.0-SNAPSHOT","{""id"": ""sites-component-common-info"", ""name"": ""sites-component-common-info"", ""version"": ""0.2.0-SNAPSHOT"", ""dependencies"": {""assets"": []}, ""views"": [{""eventName"": ""onCommonInfoLoaded"", ""dependencies"": {""assets"": [{""id"": ""rt_main_a71a2b0f_chunk_css"", ""content-type"": ""text/css"", ""source-ref"": ""static/css/main.a71a2b0f.chunk.css""}, {""id"": ""rt_main_97c37a17_chunk_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/main.97c37a17.chunk.js""}, {""id"": ""rt_runtime-main_d30ce3ce_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/runtime-main.d30ce3ce.js""}, {""id"": ""rt_2_37be5269_chunk_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/2.37be5269.chunk.js""}]}}]}","sites-component-common-info","false","false"
"sites-component-common-info","0.3.0-SNAPSHOT","{""id"": ""sites-component-common-info"", ""name"": ""sites-component-common-info"", ""version"": ""0.3.0-SNAPSHOT"", ""dependencies"": {""assets"": []}, ""views"": [{""eventName"": ""onCommonInfoLoaded"", ""dependencies"": {""assets"": [{""id"": ""rt_main_a71a2b0f_chunk_css"", ""content-type"": ""text/css"", ""source-ref"": ""static/css/main.a71a2b0f.chunk.css""}, {""id"": ""rt_main_97c37a17_chunk_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/main.97c37a17.chunk.js""}, {""id"": ""rt_runtime-main_d30ce3ce_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/runtime-main.d30ce3ce.js""}, {""id"": ""rt_2_37be5269_chunk_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/2.37be5269.chunk.js""}]}}]}","sites-component-common-info","false","false"
"sites-component-common-info","1.0.0","{""id"": ""sites-component-common-info"", ""name"": ""sites-component-common-info"", ""version"": ""1.0.0"", ""dependencies"": {""assets"": []}, ""views"": [{""eventName"": ""onCommonInfoLoaded"", ""dependencies"": {""assets"": [{""id"": ""rt_main_a71a2b0f_chunk_css"", ""content-type"": ""text/css"", ""source-ref"": ""static/css/main.a71a2b0f.chunk.css""}, {""id"": ""rt_main_97c37a17_chunk_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/main.97c37a17.chunk.js""}, {""id"": ""rt_runtime-main_d30ce3ce_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/runtime-main.d30ce3ce.js""}, {""id"": ""rt_2_37be5269_chunk_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/2.37be5269.chunk.js""}]}}]}","sites-component-common-info","false","false"
"sites-component-common-info","1.4.0","{""id"": ""sites-component-common-info"", ""name"": ""sites-component-common-info"", ""version"": ""1.4.0"", ""dependencies"": {""assets"": []}, ""views"": [{""eventName"": ""onCommonInfoLoaded"", ""dependencies"": {""assets"": [{""id"": ""rt_main_a71a2b0f_chunk_css"", ""content-type"": ""text/css"", ""source-ref"": ""static/css/main.a71a2b0f.chunk.css""}, {""id"": ""rt_main_35ec04d1_chunk_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/main.35ec04d1.chunk.js""}, {""id"": ""rt_runtime-main_25c7757d_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/runtime-main.25c7757d.js""}]}}]}","sites-component-common-info","false","false"
